product_id,product_name,category,sub_category,mrp_inr,cost_price_inr,selling_price_inr,gross_margin_pct,maintenance_level,weight_grams,is_bestseller,avg_customer_rating,total_reviews,stock_available,reorder_level,supplier,shelf_life_days,packaging_type,launched_date,is_active,quick_commerce_eligible,plant_care_guide_available,price_tier,margin_band
PL011,Rose – Red (Grafted),Live Plants,Outdoor Plants,449,130,399,67.4,High,4407,Standard,4.1,5734,220,75,Vendor – Pune,62,Patented Cylinder Box,2023-11-10,Yes,Quick Commerce,Guide Available,Mid (Rs200-499),High (65-75%)
PL012,Hibiscus – Pink,Live Plants,Outdoor Plants,399,110,349,68.5,Medium,3636,Standard,4.3,4540,1321,114,Import – SE Asia,83,Patented Cylinder Box,2019-05-01,Yes,Quick Commerce,Guide Available,Mid (Rs200-499),High (65-75%)
PL013,Bougainvillea,Live Plants,Outdoor Plants,399,115,349,67.0,Low,3471,Standard,4.8,6799,1160,25,Vendor – Kolkata,44,Patented Cylinder Box,2023-01-04,Yes,Quick Commerce,Guide Available,Mid (Rs200-499),High (65-75%)
PL014,Ixora,Live Plants,Outdoor Plants,299,85,269,68.4,Medium,3736,Standard,4.3,961,120,64,Vendor – Hyderabad,65,Patented Cylinder Box,2022-06-16,Yes,Quick Commerce,Guide Available,Mid (Rs200-499),High (65-75%)
PL015,Marigold Seedling,Live Plants,Outdoor Plants,149,40,129,69.0,Medium,1232,Standard,4.4,4445,1347,137,Vendor – Kolkata,45,Patented Cylinder Box,2020-07-24,Yes,Quick Commerce,Guide Available,Budget (<Rs200),High (65-75%)
PL016,Aloe Vera,Live Plants,Succulents,299,80,249,67.9,Very Low,2550,Bestseller,4.2,3981,1596,141,Vendor – Pune,84,Patented Cylinder Box,2021-02-28,Yes,Quick Commerce,Guide Available,Mid (Rs200-499),High (65-75%)
PL017,Cactus Mix (3 pack),Live Plants,Succulents,249,65,219,70.3,Very Low,269,Standard,4.0,5836,966,143,Talegaon Farm (In-house),60,Patented Cylinder Box,2020-06-02,Yes,Quick Commerce,Guide Available,Mid (Rs200-499),High (65-75%)
PL018,Echeveria Set of 3,Live Plants,Succulents,349,95,299,68.2,Very Low,1571,Standard,4.6,2007,1275,143,Talegaon Farm (In-house),63,Patented Cylinder Box,2021-05-24,Yes,Quick Commerce,Guide Available,Mid (Rs200-499),High (65-75%)
PL019,Areca Palm,Live Plants,Air Purifiers,799,250,749,66.6,Low,3737,Standard,4.2,5415,1639,55,Import – SE Asia,89,Patented Cylinder Box,2019-02-06,Yes,Quick Commerce,Guide Available,Premium (Rs500-999),High (65-75%)
PL020,Bamboo Palm,Live Plants,Air Purifiers,849,270,799,66.2,Low,845,Standard,4.0,3540,262,104,Vendor – Hyderabad,61,Patented Cylinder Box,2021-08-28,Yes,Quick Commerce,Guide Available,Premium (Rs500-999),High (65-75%)
SD001,Cherry Tomato Seeds,Seeds,Vegetable Seeds,99,18,89,79.8,Low,206,Bestseller,4.6,2806,1191,28,Talegaon Farm (In-house),180,Standard,2019-12-28,Yes,Standard Delivery,No Guide,Budget (<Rs200),Very High (75%+)
SD002,Spinach Seeds (50g),Seeds,Vegetable Seeds,79,14,69,79.7,Low,2139,Standard,4.7,233,37,143,Vendor – Kolkata,180,Standard,2019-09-03,Yes,Standard Delivery,No Guide,Budget (<Rs200),Very High (75%+)
SD003,Coriander Seeds (50g),Seeds,Vegetable Seeds,69,12,59,79.7,Low,3616,Standard,4.1,2545,1051,45,Import – SE Asia,180,Standard,2021-06-05,Yes,Standard Delivery,No Guide,Budget (<Rs200),Very High (75%+)
SD004,Chilli Hybrid Seeds,Seeds,Vegetable Seeds,109,22,99,77.8,Low,553,Standard,4.5,3693,1016,48,Vendor – Kolkata,180,Standard,2021-12-28,Yes,Standard Delivery,No Guide,Budget (<Rs200),Very High (75%+)
SD005,Marigold Seeds,Seeds,Flower Seeds,89,16,79,79.7,Low,1898,Standard,4.1,4965,831,45,Import – SE Asia,180,Standard,2023-03-18,Yes,Standard Delivery,No Guide,Budget (<Rs200),Very High (75%+)
SD006,Sunflower Seeds,Seeds,Flower Seeds,109,20,99,79.8,Low,4343,Standard,3.9,3342,323,87,Vendor – Kolkata,180,Standard,2020-12-13,Yes,Standard Delivery,No Guide,Budget (<Rs200),Very High (75%+)
SD007,Petunia Seeds,Seeds,Flower Seeds,129,28,119,76.5,Medium,3846,Standard,4.8,4239,1351,53,Import – SE Asia,180,Standard,2019-01-07,Yes,Standard Delivery,No Guide,Budget (<Rs200),Very High (75%+)
SD008,Methi Seeds (100g),Seeds,Herb Seeds,59,10,49,79.6,Low,1839,Standard,4.1,4573,1713,141,Talegaon Farm (In-house),180,Standard,2020-12-23,Yes,Standard Delivery,No Guide,Budget (<Rs200),Very High (75%+)
SD009,Basil Seeds,Seeds,Herb Seeds,79,15,69,78.3,Low,4276,Standard,4.4,4076,1073,49,Talegaon Farm (In-house),180,Standard,2020-10-17,Yes,Standard Delivery,No Guide,Budget (<Rs200),Very High (75%+)
PT001,Ceramic Pot 5 inch – White,Pots & Planters,Ceramic Pots,349,105,319,67.1,,2784,Standard,4.6,3752,1877,146,Vendor – Kolkata,999,Standard,2023-01-21,Yes,Quick Commerce,No Guide,Mid (Rs200-499),High (65-75%)
PT002,Ceramic Pot 6 inch – Terracotta look,Pots & Planters,Ceramic Pots,449,135,399,66.2,,910,Bestseller,4.0,6651,1076,138,Vendor – Pune,999,Standard,2023-08-25,Yes,Quick Commerce,No Guide,Mid (Rs200-499),High (65-75%)
PT003,Ceramic Pot 8 inch – Matte Black,Pots & Planters,Ceramic Pots,699,210,649,67.6,,1193,Standard,4.1,6010,594,126,Talegaon Farm (In-house),999,Standard,2022-10-15,Yes,Quick Commerce,No Guide,Premium (Rs500-999),High (65-75%)
PT004,Classic Terracotta 6in,Pots & Planters,Terracotta Pots,249,70,219,68.0,,1994,Standard,4.7,4351,45,72,Vendor – Pune,999,Standard,2022-12-28,Yes,Quick Commerce,No Guide,Mid (Rs200-499),High (65-75%)
PT005,Self-Watering Pot 7in,Pots & Planters,Self-Watering,799,240,749,68.0,,359,Standard,4.7,4757,1750,46,Vendor – Pune,999,Standard,2021-02-21,Yes,Quick Commerce,No Guide,Premium (Rs500-999),High (65-75%)
PT006,Hanging Basket Planter,Pots & Planters,Hanging Planters,549,165,499,66.9,,2274,Standard,4.2,3512,751,52,Talegaon Farm (In-house),999,Standard,2020-09-13,Yes,Quick Commerce,No Guide,Mid (Rs200-499),High (65-75%)
PT007,Vertical Wall Planter (5 pocket),Pots & Planters,Wall Planters,1299,390,1199,67.5,,1142,Standard,4.3,2468,1618,36,Import – SE Asia,999,Standard,2020-07-10,Yes,Standard Delivery,No Guide,Luxury (Rs1000+),High (65-75%)
PT008,Nursery Grow Bags (5 pack),Pots & Planters,Grow Bags,299,80,269,70.3,,2850,Standard,4.1,1045,437,65,Vendor – Hyderabad,999,Standard,2019-04-04,Yes,Quick Commerce,No Guide,Mid (Rs200-499),High (65-75%)
FR001,Ugaoo NPK 19-19-19 (500g),Fertilisers,Chemical Fert.,349,95,299,68.2,,2102,Standard,4.6,5668,603,144,Vendor – Pune,999,Standard,2023-06-28,Yes,Standard Delivery,No Guide,Mid (Rs200-499),High (65-75%)
FR002,Organic Vermicompost (2kg),Fertilisers,Organic Fert.,399,110,349,68.5,,268,Bestseller,4.5,154,1363,28,Import – SE Asia,999,Standard,2022-10-04,Yes,Standard Delivery,No Guide,Mid (Rs200-499),High (65-75%)
FR003,Seaweed Liquid Fertiliser,Fertilisers,Liquid Fert.,299,80,249,67.9,,3857,Standard,4.8,4052,722,50,Talegaon Farm (In-house),999,Standard,2020-12-05,Yes,Standard Delivery,No Guide,Mid (Rs200-499),High (65-75%)
FR004,Bone Meal Fertiliser (500g),Fertilisers,Organic Fert.,349,100,299,66.6,,1867,Standard,3.9,2256,163,149,Vendor – Pune,999,Standard,2022-12-02,Yes,Standard Delivery,No Guide,Mid (Rs200-499),High (65-75%)
FR005,Plant Tonic – Rooting Hormone,Fertilisers,Specialty,249,70,219,68.0,,3578,Standard,3.9,4195,128,61,Vendor – Hyderabad,999,Standard,2021-12-30,Yes,Standard Delivery,No Guide,Mid (Rs200-499),High (65-75%)
TL001,Garden Pruner – Stainless,Tools,Pruning Tools,499,145,449,67.7,,872,Standard,4.2,5025,1993,65,Vendor – Pune,999,Standard,2021-09-18,Yes,Standard Delivery,No Guide,Mid (Rs200-499),High (65-75%)
TL002,Watering Can 2L,Tools,Watering,349,95,299,68.2,,2638,Standard,4.3,3429,1724,71,Import – SE Asia,999,Standard,2021-05-06,Yes,Standard Delivery,No Guide,Mid (Rs200-499),High (65-75%)
TL003,Premium Potting Mix 5kg,Tools,Soil & Media,449,130,399,67.4,,1574,Standard,4.0,131,60,40,Vendor – Pune,999,Standard,2022-02-27,Yes,Standard Delivery,No Guide,Mid (Rs200-499),High (65-75%)
TL004,Pebbles Decorative 500g,Tools,Décor,199,55,179,69.3,,320,Standard,3.9,4992,151,73,Vendor – Hyderabad,999,Standard,2020-12-09,Yes,Standard Delivery,No Guide,Budget (<Rs200),High (65-75%)
TL005,Moisture Meter,Tools,Gadgets,699,200,649,69.2,,2424,Standard,4.5,5279,1301,59,Vendor – Pune,999,Standard,2022-09-16,Yes,Standard Delivery,No Guide,Premium (Rs500-999),High (65-75%)
GF001,Green Starter Kit,Gifting,Beginner Kits,999,370,899,58.8,,3396,Bestseller,4.5,2832,983,25,Import – SE Asia,999,Standard,2023-03-09,Yes,Standard Delivery,No Guide,Premium (Rs500-999),Mid (50-65%)
GF002,Plant Parent Gift Box,Gifting,Gift Boxes,1799,660,1649,60.0,,1477,Standard,4.1,4361,937,77,Vendor – Hyderabad,999,Standard,2021-04-11,Yes,Standard Delivery,No Guide,Luxury (Rs1000+),Mid (50-65%)
GF003,Festive Diwali Plant Hamper,Gifting,Festive Hampers,2999,1100,2749,60.0,,2814,Bestseller,4.7,3435,220,60,Vendor – Pune,999,Standard,2020-12-01,Yes,Standard Delivery,No Guide,Luxury (Rs1000+),Mid (50-65%)
GF004,Corporate Desk Plant Set,Gifting,Corporate,1499,540,1349,60.0,,1772,Standard,4.0,4221,1588,144,Import – SE Asia,999,Standard,2023-06-28,Yes,Standard Delivery,No Guide,Luxury (Rs1000+),Mid (50-65%)
GF005,Anniversary Succulent Box,Gifting,Gift Boxes,1199,430,1099,60.9,,1318,Standard,4.6,832,246,92,Vendor – Hyderabad,999,Standard,2022-05-07,Yes,Standard Delivery,No Guide,Luxury (Rs1000+),Mid (50-65%)
